epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5593.86,1.00402,0.67908,1.15827,0.84596,0.80239,0.85746,0.57012,0.82717,0.43073,1.10162,0.007228,0.007228,0.007228
44,5721.94,1.01767,0.67518,1.15976,0.84627,0.81121,0.86044,0.5689,0.82449,0.42936,1.09147,0.007162,0.007162,0.007162
45,5850.94,1.01953,0.67491,1.16005,0.83762,0.82401,0.86433,0.57224,0.8354,0.43021,1.09515,0.007096,0.007096,0.007096
46,5980.53,1.00074,0.6692,1.15536,0.83049,0.82204,0.85516,0.57354,0.82424,0.42648,1.09372,0.00703,0.00703,0.00703
47,6108.69,0.99104,0.66282,1.14998,0.85434,0.80695,0.8618,0.58005,0.80822,0.4196,1.06746,0.006964,0.006964,0.006964
48,6237.74,1.00461,0.66176,1.15188,0.85328,0.82474,0.86452,0.58647,0.813,0.41932,1.08397,0.006898,0.006898,0.006898
49,6366.25,0.99477,0.65373,1.15253,0.85384,0.81781,0.86874,0.58149,0.80741,0.41166,1.07683,0.006832,0.006832,0.006832
50,6494.58,0.98653,0.64745,1.14033,0.83961,0.83026,0.86717,0.57885,0.80994,0.41364,1.08269,0.006766,0.006766,0.006766
51,6623.83,0.98719,0.65461,1.14877,0.82699,0.83219,0.86608,0.58001,0.80871,0.40759,1.08158,0.0067,0.0067,0.0067
52,6751.87,0.96388,0.64134,1.13718,0.87036,0.82284,0.86894,0.58407,0.80464,0.41585,1.08489,0.006634,0.006634,0.006634
53,6880.08,0.98103,0.64081,1.14065,0.88335,0.81629,0.869,0.58848,0.80484,0.40572,1.07447,0.006568,0.006568,0.006568
54,7009.87,0.97468,0.64816,1.13575,0.85047,0.83933,0.87027,0.58058,0.79801,0.40317,1.07291,0.006502,0.006502,0.006502
55,7139.43,0.95192,0.6247,1.13131,0.87233,0.80736,0.86404,0.58131,0.81018,0.40546,1.08795,0.006436,0.006436,0.006436
56,7268.46,0.96111,0.6306,1.13596,0.86869,0.83439,0.87287,0.57991,0.81033,0.40654,1.0822,0.00637,0.00637,0.00637
57,7397.43,0.96137,0.62055,1.12541,0.84859,0.84103,0.86909,0.58829,0.79841,0.39849,1.07048,0.006304,0.006304,0.006304
58,7525.53,0.95977,0.61769,1.12213,0.876,0.82674,0.87836,0.58924,0.79568,0.3921,1.06331,0.006238,0.006238,0.006238
59,7654.34,0.94299,0.61759,1.11878,0.85709,0.84762,0.87492,0.59355,0.79204,0.3969,1.06338,0.006172,0.006172,0.006172
60,7785.46,0.94545,0.61193,1.11577,0.86048,0.83182,0.87127,0.5882,0.79373,0.39581,1.06788,0.006106,0.006106,0.006106
61,7914.31,0.9493,0.60694,1.11894,0.86419,0.82427,0.86107,0.58577,0.78687,0.38883,1.06327,0.00604,0.00604,0.00604
62,8043.12,0.951,0.60536,1.11523,0.84807,0.83076,0.86166,0.58075,0.78953,0.38972,1.05658,0.005974,0.005974,0.005974
63,8173.44,0.94389,0.60334,1.11451,0.85775,0.83616,0.86847,0.59067,0.78343,0.39013,1.04896,0.005908,0.005908,0.005908
64,8303.92,0.94485,0.60697,1.11736,0.88492,0.83251,0.87335,0.58864,0.7891,0.38625,1.05806,0.005842,0.005842,0.005842
65,8433.96,0.91472,0.58533,1.10223,0.84254,0.83192,0.86652,0.5885,0.78029,0.38445,1.05643,0.005776,0.005776,0.005776
66,8563.81,0.92564,0.58966,1.10409,0.84939,0.82332,0.86719,0.59361,0.77583,0.38694,1.05504,0.00571,0.00571,0.00571
67,8694.81,0.93221,0.59581,1.1082,0.86339,0.83441,0.87154,0.59947,0.78119,0.38006,1.05469,0.005644,0.005644,0.005644
68,8825.73,0.92354,0.59385,1.10233,0.86366,0.82569,0.86764,0.59147,0.77647,0.38017,1.05893,0.005578,0.005578,0.005578
69,8957.35,0.91883,0.58443,1.10509,0.86758,0.82547,0.87501,0.6002,0.7778,0.38025,1.04703,0.005512,0.005512,0.005512
70,9086.61,0.91633,0.57763,1.10176,0.86894,0.82745,0.86454,0.59851,0.77236,0.38071,1.04994,0.005446,0.005446,0.005446
71,9216.65,0.90803,0.57776,1.09685,0.86727,0.82804,0.87024,0.59858,0.77189,0.37727,1.05032,0.00538,0.00538,0.00538
72,9347.14,0.91351,0.57671,1.09895,0.84907,0.851,0.87719,0.60585,0.77105,0.37757,1.05416,0.005314,0.005314,0.005314
73,9476.67,0.90228,0.57825,1.09668,0.85407,0.8508,0.88026,0.60289,0.77077,0.37362,1.05024,0.005248,0.005248,0.005248
74,9606.43,0.90109,0.56958,1.08961,0.86307,0.83523,0.87625,0.60565,0.76859,0.3739,1.0468,0.005182,0.005182,0.005182
75,9738,0.89848,0.56186,1.08906,0.8663,0.83101,0.87148,0.59924,0.77023,0.37221,1.04581,0.005116,0.005116,0.005116
76,9866.85,0.90335,0.56848,1.09219,0.87889,0.85142,0.87944,0.60477,0.76503,0.37008,1.04471,0.00505,0.00505,0.00505
77,9997.33,0.89251,0.56568,1.085,0.89051,0.82055,0.8778,0.59742,0.76177,0.37117,1.03545,0.004984,0.004984,0.004984
78,10127.8,0.89765,0.5586,1.08666,0.86144,0.84098,0.88003,0.59791,0.76206,0.36683,1.04056,0.004918,0.004918,0.004918
79,10258.5,0.88805,0.55115,1.08219,0.87122,0.83608,0.87744,0.6033,0.76155,0.36342,1.03796,0.004852,0.004852,0.004852
80,10388.4,0.89518,0.55885,1.0872,0.87134,0.83369,0.87967,0.60233,0.76173,0.36719,1.03989,0.004786,0.004786,0.004786
81,10519.6,0.88785,0.55266,1.08194,0.85544,0.85074,0.88105,0.60325,0.76335,0.36092,1.0358,0.00472,0.00472,0.00472
82,10650.7,0.88419,0.55316,1.08303,0.88605,0.83296,0.87802,0.60145,0.7549,0.36238,1.03465,0.004654,0.004654,0.004654
